user_id,temperature,rain_chance,wind_speed,outer_id,outer_name,top_id,top_name,bottom_id,bottom_name,score,top_type,top_color,top_material,top_size,top_season,top_style,top_favorite,top_special_property,bottom_type,bottom_color,bottom_material,bottom_size,bottom_season,bottom_style,bottom_favorite,bottom_special_property,outer_type,outer_color,outer_material,outer_size,outer_season,outer_style,outer_favorite,outer_special_property,has_outer
1,-3.1,8.3,26.8,0.0,missing,5.0,T-shirt,7.0,Skirt,4.5,T-shirt,Blue,Wool,S,missing,Evening,1.0,Non-restrictive,Skirt,Green,Wool,XL,missing,Sporty,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
1,-3.1,8.3,26.8,0.0,missing,5.0,T-shirt,6.0,Shorts,4.47,T-shirt,Blue,Wool,S,missing,Evening,1.0,Non-restrictive,Shorts,Gray,Denim,M,missing,Sporty,1.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
1,-3.1,8.3,26.8,0.0,missing,5.0,T-shirt,9.0,Skirt,3.92,T-shirt,Blue,Wool,S,missing,Evening,1.0,Non-restrictive,Skirt,Red,Linen,XL,missing,Sporty,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
1,-3.1,8.3,26.8,0.0,missing,5.0,T-shirt,11.0,Skirt,3.92,T-shirt,Blue,Wool,S,missing,Evening,1.0,Non-restrictive,Skirt,Red,Polyester,S,missing,Evening,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
1,-3.1,8.3,26.8,0.0,missing,2.0,Sweater,7.0,Skirt,3.92,Sweater,Beige,Wool,M,missing,Casual,0.0,missing,Skirt,Green,Wool,XL,missing,Sporty,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
2,8.4,95.2,5.2,0.0,missing,13.0,Sweatshirt,21.0,Skirt,3.73,Sweatshirt,Beige,Leather,S,missing,Evening,0.0,Anti-chafing,Skirt,Beige,Leather,M,missing,Evening,1.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
2,8.4,95.2,5.2,0.0,missing,16.0,Sweater,21.0,Skirt,3.6,Sweater,Green,Polyester,S,missing,Evening,1.0,missing,Skirt,Beige,Leather,M,missing,Evening,1.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
2,8.4,95.2,5.2,0.0,missing,29.0,Sweater,21.0,Skirt,3.29,Sweater,White,Leather,XS,missing,Casual,0.0,missing,Skirt,Beige,Leather,M,missing,Evening,1.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
2,8.4,95.2,5.2,0.0,missing,14.0,T-shirt,21.0,Skirt,3.29,T-shirt,Green,Leather,XS,missing,Sporty,0.0,missing,Skirt,Beige,Leather,M,missing,Evening,1.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
2,8.4,95.2,5.2,0.0,missing,15.0,Shirt,21.0,Skirt,3.11,Shirt,Beige,Wool,M,missing,Evening,0.0,missing,Skirt,Beige,Leather,M,missing,Evening,1.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
3,29.9,61.5,12.0,0.0,missing,34.0,Shirt,38.0,Trousers,3.33,Shirt,Blue,Denim,XL,missing,Evening,0.0,Quick-drying,Trousers,Red,Linen,XS,missing,Casual,0.0,Quick-drying,missing,missing,missing,missing,missing,missing,0.0,missing,0
3,29.9,61.5,12.0,32.0,Coat,-1.0,missing,38.0,Trousers,3.3,missing,missing,missing,missing,missing,missing,0.0,missing,Trousers,Red,Linen,XS,missing,Casual,0.0,Quick-drying,Coat,Blue,Wool,XS,missing,Formal,0.0,Quick-drying,1
3,29.9,61.5,12.0,0.0,missing,36.0,T-shirt,38.0,Trousers,2.7,T-shirt,Beige,Polyester,XS,missing,Evening,0.0,missing,Trousers,Red,Linen,XS,missing,Casual,0.0,Quick-drying,missing,missing,missing,missing,missing,missing,0.0,missing,0
3,29.9,61.5,12.0,0.0,missing,33.0,Sweatshirt,38.0,Trousers,2.13,Sweatshirt,Gray,Denim,M,missing,Evening,0.0,Insulated,Trousers,Red,Linen,XS,missing,Casual,0.0,Quick-drying,missing,missing,missing,missing,missing,missing,0.0,missing,0
3,29.9,61.5,12.0,0.0,missing,35.0,Sweater,38.0,Trousers,2.13,Sweater,Black,Wool,M,missing,Evening,0.0,Insulated,Trousers,Red,Linen,XS,missing,Casual,0.0,Quick-drying,missing,missing,missing,missing,missing,missing,0.0,missing,0
4,12.3,99.9,24.5,0.0,missing,46.0,Sweater,52.0,Skirt,2.98,Sweater,Blue,Polyester,XL,missing,Casual,0.0,missing,Skirt,Gray,Polyester,XXL,missing,Formal,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
4,12.3,99.9,24.5,45.0,Coat,-1.0,missing,52.0,Skirt,2.55,missing,missing,missing,missing,missing,missing,0.0,missing,Skirt,Gray,Polyester,XXL,missing,Formal,0.0,missing,Coat,Gray,Denim,XXL,missing,Formal,0.0,Breathable,1
4,12.3,99.9,24.5,0.0,missing,46.0,Sweater,50.0,Skirt,2.52,Sweater,Blue,Polyester,XL,missing,Casual,0.0,missing,Skirt,Blue,Linen,XS,missing,Sporty,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
4,12.3,99.9,24.5,0.0,missing,46.0,Sweater,51.0,Skirt,2.42,Sweater,Blue,Polyester,XL,missing,Casual,0.0,missing,Skirt,White,Wool,S,missing,Formal,1.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
4,12.3,99.9,24.5,44.0,Coat,-1.0,missing,52.0,Skirt,2.4,missing,missing,missing,missing,missing,missing,0.0,missing,Skirt,Gray,Polyester,XXL,missing,Formal,0.0,missing,Coat,Blue,Cotton,XS,missing,Evening,0.0,Breathable,1
5,14.0,13.9,14.7,0.0,missing,55.0,Sweatshirt,60.0,Trousers,2.28,Sweatshirt,Beige,Cotton,L,missing,Evening,0.0,missing,Trousers,Beige,Linen,XXL,missing,Evening,0.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
5,14.0,13.9,14.7,0.0,missing,54.0,Sweatshirt,60.0,Trousers,2.27,Sweatshirt,Beige,Polyester,M,missing,Casual,0.0,Quick-drying,Trousers,Beige,Linen,XXL,missing,Evening,0.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
5,14.0,13.9,14.7,57.0,Coat,-1.0,missing,60.0,Trousers,2.26,missing,missing,missing,missing,missing,missing,0.0,missing,Trousers,Beige,Linen,XXL,missing,Evening,0.0,Non-restrictive,Coat,Beige,Denim,M,missing,Formal,0.0,Anti-chafing,1
5,14.0,13.9,14.7,58.0,Jacket,-1.0,missing,60.0,Trousers,2.16,missing,missing,missing,missing,missing,missing,0.0,missing,Trousers,Beige,Linen,XXL,missing,Evening,0.0,Non-restrictive,Jacket,Black,Polyester,XXL,missing,Evening,0.0,Non-restrictive,1
5,14.0,13.9,14.7,0.0,missing,55.0,Sweatshirt,61.0,Skirt,1.97,Sweatshirt,Beige,Cotton,L,missing,Evening,0.0,missing,Skirt,Beige,Linen,XL,missing,Evening,0.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
6,27.2,50.0,0.4,0.0,missing,83.0,Shirt,73.0,Skirt,3.88,Shirt,Blue,Polyester,XL,missing,Sporty,0.0,Quick-drying,Skirt,White,Cotton,S,missing,Evening,0.0,Quick-drying,missing,missing,missing,missing,missing,missing,0.0,missing,0
6,27.2,50.0,0.4,0.0,missing,83.0,Shirt,78.0,Trousers,3.41,Shirt,Blue,Polyester,XL,missing,Sporty,0.0,Quick-drying,Trousers,Blue,Cotton,M,missing,Evening,0.0,Non-restrictive,missing,missing,missing,missing,missing,missing,0.0,missing,0
6,27.2,50.0,0.4,0.0,missing,83.0,Shirt,82.0,Shorts,3.41,Shirt,Blue,Polyester,XL,missing,Sporty,0.0,Quick-drying,Shorts,Blue,Linen,XS,missing,Evening,1.0,missing,missing,missing,missing,missing,missing,missing,0.0,missing,0
