user_id,temperature,rain_chance,wind_speed,top_id,top_name,bottom_id,bottom_name,score
1,-3.1,8.3,26.8,5,T-shirt,7,Skirt,4.5
1,-3.1,8.3,26.8,5,T-shirt,6,Shorts,4.47
1,-3.1,8.3,26.8,5,T-shirt,9,Skirt,3.92
1,-3.1,8.3,26.8,5,T-shirt,11,Skirt,3.92
1,-3.1,8.3,26.8,2,Sweater,7,Skirt,3.92
2,8.4,95.2,5.2,13,Sweatshirt,21,Skirt,3.73
2,8.4,95.2,5.2,16,Sweater,21,Skirt,3.6
2,8.4,95.2,5.2,29,Sweater,21,Skirt,3.29
2,8.4,95.2,5.2,14,T-shirt,21,Skirt,3.29
2,8.4,95.2,5.2,15,Shirt,21,Skirt,3.11
3,29.9,61.5,12.0,34,Shirt,38,Trousers,3.33
3,29.9,61.5,12.0,32,Coat,38,Trousers,3.3
3,29.9,61.5,12.0,36,T-shirt,38,Trousers,2.7
3,29.9,61.5,12.0,33,Sweatshirt,38,Trousers,2.13
3,29.9,61.5,12.0,35,Sweater,38,Trousers,2.13
4,12.3,99.9,24.5,46,Sweater,52,Skirt,2.98
4,12.3,99.9,24.5,45,Coat,52,Skirt,2.55
4,12.3,99.9,24.5,46,Sweater,50,Skirt,2.52
4,12.3,99.9,24.5,46,Sweater,51,Skirt,2.42
4,12.3,99.9,24.5,44,Coat,52,Skirt,2.4
5,14.0,13.9,14.7,55,Sweatshirt,60,Trousers,2.28
5,14.0,13.9,14.7,54,Sweatshirt,60,Trousers,2.27
5,14.0,13.9,14.7,57,Coat,60,Trousers,2.26
5,14.0,13.9,14.7,58,Jacket,60,Trousers,2.16
5,14.0,13.9,14.7,55,Sweatshirt,61,Skirt,1.97
6,27.2,50.0,0.4,83,Shirt,73,Skirt,3.88
6,27.2,50.0,0.4,83,Shirt,78,Trousers,3.41
6,27.2,50.0,0.4,83,Shirt,82,Shorts,3.41
6,27.2,50.0,0.4,83,Shirt,80,Shorts,3.11
6,27.2,50.0,0.4,83,Shirt,72,Shorts,3.1
7,13.1,91.6,26.4,85,Blazer,92,Trousers,3.01
7,13.1,91.6,26.4,85,Blazer,89,Skirt,2.72
7,13.1,91.6,26.4,87,Shirt,92,Trousers,2.7
7,13.1,91.6,26.4,84,Sweater,92,Trousers,2.52
7,13.1,91.6,26.4,85,Blazer,93,Trousers,2.43
8,30.0,4.1,29.7,98,T-shirt,102,Trousers,2.71
8,30.0,4.1,29.7,98,T-shirt,103,Shorts,2.68
8,30.0,4.1,29.7,108,Blazer,102,Trousers,2.56
8,30.0,4.1,29.7,104,T-shirt,99,Trousers,2.55
8,30.0,4.1,29.7,108,Blazer,103,Shorts,2.53
9,-0.6,32.0,20.4,110,Sweatshirt,118,Skirt,5.03
9,-0.6,32.0,20.4,109,Jacket,118,Skirt,4.91
9,-0.6,32.0,20.4,124,Shirt,118,Skirt,4.61
9,-0.6,32.0,20.4,112,Coat,118,Skirt,4.48
9,-0.6,32.0,20.4,113,Jacket,118,Skirt,4.19
10,11.5,65.1,25.9,129,Coat,138,Skirt,4.04
10,11.5,65.1,25.9,129,Coat,131,Skirt,3.44
10,11.5,65.1,25.9,129,Coat,133,Trousers,3.3
10,11.5,65.1,25.9,129,Coat,135,Skirt,3.29
10,11.5,65.1,25.9,129,Coat,134,Shorts,3.29
11,18.9,10.1,26.1,143,Jacket,148,Skirt,1.53
11,18.9,10.1,26.1,140,Coat,147,Shorts,1.36
11,18.9,10.1,26.1,143,Jacket,144,Shorts,1.25
11,18.9,10.1,26.1,143,Jacket,146,Shorts,1.24
11,18.9,10.1,26.1,140,Coat,148,Skirt,1.23
12,25.3,91.6,0.3,151,Shirt,157,Skirt,3.0
12,25.3,91.6,0.3,151,Shirt,156,Skirt,2.99
12,25.3,91.6,0.3,151,Shirt,154,Shorts,2.71
12,25.3,91.6,0.3,151,Shirt,155,Trousers,2.68
12,25.3,91.6,0.3,152,Blazer,157,Skirt,2.55
13,27.0,39.8,21.0,172,Jacket,168,Shorts,3.28
13,27.0,39.8,21.0,173,T-shirt,168,Shorts,3.12
13,27.0,39.8,21.0,172,Jacket,165,Skirt,2.98
13,27.0,39.8,21.0,172,Jacket,166,Skirt,2.97
13,27.0,39.8,21.0,162,Blazer,168,Shorts,2.81
14,16.1,96.0,25.8,187,Coat,181,Trousers,2.53
14,16.1,96.0,25.8,187,Coat,179,Trousers,2.43
14,16.1,96.0,25.8,187,Coat,183,Skirt,2.4
14,16.1,96.0,25.8,184,Coat,183,Skirt,2.23
14,16.1,96.0,25.8,178,Coat,179,Trousers,2.14
15,6.0,25.4,15.4,202,Blazer,201,Shorts,2.52
15,6.0,25.4,15.4,202,Blazer,199,Skirt,2.51
15,6.0,25.4,15.4,193,Coat,197,Shorts,2.5
15,6.0,25.4,15.4,202,Blazer,200,Trousers,2.42
15,6.0,25.4,15.4,202,Blazer,197,Shorts,2.4
16,19.9,43.7,22.5,209,T-shirt,214,Trousers,1.9
16,19.9,43.7,22.5,209,T-shirt,215,Shorts,1.49
16,19.9,43.7,22.5,218,Blazer,214,Trousers,1.31
16,19.9,43.7,22.5,209,T-shirt,217,Skirt,1.21
16,19.9,43.7,22.5,209,T-shirt,222,Shorts,1.2
17,27.8,46.4,25.2,227,Blazer,231,Skirt,4.2
17,27.8,46.4,25.2,225,Shirt,231,Skirt,3.02
17,27.8,46.4,25.2,227,Blazer,230,Shorts,3.01
17,27.8,46.4,25.2,227,Blazer,233,Trousers,2.84
17,27.8,46.4,25.2,227,Blazer,229,Shorts,2.73
18,25.8,92.8,2.4,247,Blazer,239,Skirt,3.91
18,25.8,92.8,2.4,247,Blazer,241,Skirt,3.74
18,25.8,92.8,2.4,244,Jacket,239,Skirt,3.62
18,25.8,92.8,2.4,234,Sweatshirt,239,Skirt,3.31
18,25.8,92.8,2.4,236,Jacket,239,Skirt,3.3
19,7.5,50.7,10.1,265,Jacket,258,Skirt,3.7
19,7.5,50.7,10.1,265,Jacket,260,Shorts,3.0
19,7.5,50.7,10.1,256,Sweatshirt,258,Skirt,3.0
19,7.5,50.7,10.1,265,Jacket,266,Trousers,2.99
19,7.5,50.7,10.1,254,Sweatshirt,266,Trousers,2.81
20,16.2,30.2,2.8,272,Jacket,278,Skirt,1.64
20,16.2,30.2,2.8,270,Blazer,278,Skirt,1.22
20,16.2,30.2,2.8,271,Coat,278,Skirt,1.22
20,16.2,30.2,2.8,273,Coat,278,Skirt,1.22
20,16.2,30.2,2.8,274,T-shirt,278,Skirt,1.2
21,10.9,11.6,8.7,285,Shirt,297,Skirt,2.49
21,10.9,11.6,8.7,283,Sweatshirt,297,Skirt,2.35
21,10.9,11.6,8.7,294,Jacket,287,Skirt,2.21
21,10.9,11.6,8.7,282,Shirt,297,Skirt,2.21
21,10.9,11.6,8.7,284,Sweater,297,Skirt,2.21
22,29.7,37.9,1.6,299,Sweatshirt,306,Skirt,3.59
22,29.7,37.9,1.6,300,Jacket,306,Skirt,3.56
22,29.7,37.9,1.6,311,Coat,306,Skirt,3.55
22,29.7,37.9,1.6,303,Shirt,306,Skirt,3.29
22,29.7,37.9,1.6,299,Sweatshirt,310,Skirt,2.99
