user_id,temperature,rain_chance,wind_speed,outer_id,outer_type,top_id,top_type,bottom_id,bottom_type,score
1,12.2,74.1,2.9,8,Jacket,2,T-shirt,13,Trousers,3.8988571428571426
1,12.2,74.1,2.9,8,Jacket,2,T-shirt,11,Trousers,3.8836190476190473
1,12.2,74.1,2.9,8,Jacket,1,Sweatshirt,13,Trousers,3.805047619047619
1,12.2,74.1,2.9,8,Jacket,1,Sweatshirt,11,Trousers,3.7898095238095237
1,12.2,74.1,2.9,10,Jacket,2,T-shirt,13,Trousers,3.72852380952381
2,15.7,11.1,13.9,27,Jacket,21,Blazer,36,Skirt,1.3017899317518509
2,15.7,11.1,13.9,37,Jacket,21,Blazer,36,Skirt,1.3017899317518509
2,15.7,11.1,13.9,27,Jacket,21,Blazer,31,Trousers,1.122119022055554
2,15.7,11.1,13.9,37,Jacket,21,Blazer,31,Trousers,1.122119022055554
2,15.7,11.1,13.9,27,Jacket,21,Blazer,43,Trousers,1.1217692917185171
3,7.0,82.4,23.7,50,Coat,47,T-shirt,55,Trousers,6.543990121811904
3,7.0,82.4,23.7,50,Coat,47,T-shirt,57,Trousers,6.375070272873014
3,7.0,82.4,23.7,50,Coat,62,Blazer,55,Trousers,6.23954567736746
3,7.0,82.4,23.7,50,Coat,44,T-shirt,55,Trousers,6.235101232923014
3,7.0,82.4,23.7,50,Coat,45,Blazer,55,Trousers,6.142323455145237
4,23.8,24.8,7.5,,,80,T-shirt,75,Shorts,1.0571351890133303
4,23.8,24.8,7.5,,,80,T-shirt,74,Shorts,1.0491351890133302
4,23.8,24.8,7.5,,,80,T-shirt,77,Shorts,1.0430237328333285
4,23.8,24.8,7.5,,,65,T-shirt,76,Skirt,1.0251905720344405
4,23.8,24.8,7.5,,,65,T-shirt,73,Skirt,1.0242463001244413
5,21.4,17.5,19.5,,,87,Blazer,96,Trousers,1.596936968020511
5,21.4,17.5,19.5,,,87,Blazer,98,Trousers,1.1843905279455105
5,21.4,17.5,19.5,,,87,Blazer,94,Skirt,1.1503631815038458
