user_id,temperature,rain_chance,wind_speed,top_id,top_name,bottom_id,bottom_name,score,top_type,top_color,top_material,top_size,top_style,top_favorite,top_special_property,bottom_type,bottom_color,bottom_material,bottom_size,bottom_style,bottom_favorite,bottom_special_property
1,-3.1,8.3,26.8,5,T-shirt,7,Skirt,4.5,T-shirt,Blue,Wool,S,Evening,1,Non-restrictive,Skirt,Green,Wool,XL,Sporty,0,
1,-3.1,8.3,26.8,5,T-shirt,6,Shorts,4.47,T-shirt,Blue,Wool,S,Evening,1,Non-restrictive,Shorts,Gray,Denim,M,Sporty,1,
1,-3.1,8.3,26.8,5,T-shirt,9,Skirt,3.92,T-shirt,Blue,Wool,S,Evening,1,Non-restrictive,Skirt,Red,Linen,XL,Sporty,0,
1,-3.1,8.3,26.8,5,T-shirt,11,Skirt,3.92,T-shirt,Blue,Wool,S,Evening,1,Non-restrictive,Skirt,Red,Polyester,S,Evening,0,
1,-3.1,8.3,26.8,2,Sweater,7,Skirt,3.92,Sweater,Beige,Wool,M,Casual,0,,Skirt,Green,Wool,XL,Sporty,0,
2,8.4,95.2,5.2,13,Sweatshirt,21,Skirt,3.73,Sweatshirt,Beige,Leather,S,Evening,0,Anti-chafing,Skirt,Beige,Leather,M,Evening,1,Non-restrictive
2,8.4,95.2,5.2,16,Sweater,21,Skirt,3.6,Sweater,Green,Polyester,S,Evening,1,,Skirt,Beige,Leather,M,Evening,1,Non-restrictive
2,8.4,95.2,5.2,29,Sweater,21,Skirt,3.29,Sweater,White,Leather,XS,Casual,0,,Skirt,Beige,Leather,M,Evening,1,Non-restrictive
2,8.4,95.2,5.2,14,T-shirt,21,Skirt,3.29,T-shirt,Green,Leather,XS,Sporty,0,,Skirt,Beige,Leather,M,Evening,1,Non-restrictive
2,8.4,95.2,5.2,15,Shirt,21,Skirt,3.11,Shirt,Beige,Wool,M,Evening,0,,Skirt,Beige,Leather,M,Evening,1,Non-restrictive
3,29.9,61.5,12.0,34,Shirt,38,Trousers,3.33,Shirt,Blue,Denim,XL,Evening,0,Quick-drying,Trousers,Red,Linen,XS,Casual,0,Quick-drying
3,29.9,61.5,12.0,32,Coat,38,Trousers,3.3,Coat,Blue,Wool,XS,Formal,0,Quick-drying,Trousers,Red,Linen,XS,Casual,0,Quick-drying
3,29.9,61.5,12.0,36,T-shirt,38,Trousers,2.7,T-shirt,Beige,Polyester,XS,Evening,0,,Trousers,Red,Linen,XS,Casual,0,Quick-drying
3,29.9,61.5,12.0,33,Sweatshirt,38,Trousers,2.13,Sweatshirt,Gray,Denim,M,Evening,0,Insulated,Trousers,Red,Linen,XS,Casual,0,Quick-drying
3,29.9,61.5,12.0,35,Sweater,38,Trousers,2.13,Sweater,Black,Wool,M,Evening,0,Insulated,Trousers,Red,Linen,XS,Casual,0,Quick-drying
4,12.3,99.9,24.5,46,Sweater,52,Skirt,2.98,Sweater,Blue,Polyester,XL,Casual,0,,Skirt,Gray,Polyester,XXL,Formal,0,
4,12.3,99.9,24.5,45,Coat,52,Skirt,2.55,Coat,Gray,Denim,XXL,Formal,0,Breathable,Skirt,Gray,Polyester,XXL,Formal,0,
4,12.3,99.9,24.5,46,Sweater,50,Skirt,2.52,Sweater,Blue,Polyester,XL,Casual,0,,Skirt,Blue,Linen,XS,Sporty,0,
4,12.3,99.9,24.5,46,Sweater,51,Skirt,2.42,Sweater,Blue,Polyester,XL,Casual,0,,Skirt,White,Wool,S,Formal,1,
