user_id,temperature,rain_chance,wind_speed,top_id,top_name,bottom_id,bottom_name,score,top_type,top_color,top_material,top_size,top_season,top_style,top_favorite,top_special_property,bottom_type,bottom_color,bottom_material,bottom_size,bottom_season,bottom_style,bottom_favorite,bottom_special_property
1,15.0,30.0,10.0,1,Płaszcz,10,Szorty,2.48,Płaszcz,Czerwony,Skóra,M,Wiosna/Jesień,Codzienny,0,Przeciwdeszczowe,Szorty,Czerwony,Poliester,XXL,Zima,Formalny,0,Oddychające
1,15.0,30.0,10.0,3,Sweter,10,Szorty,2.36,Sweter,Szary,Skóra,S,Wiosna/Jesień,Wieczorowy,1,Przeciwdeszczowe,Szorty,Czerwony,Poliester,XXL,Zima,Formalny,0,Oddychające
1,15.0,30.0,10.0,5,T-shirt,10,Szorty,2.06,T-shirt,Niebieski,Wełna,S,Wiosna/Jesień,Wieczorowy,1,Niekrępujące ruchu,Szorty,Czerwony,Poliester,XXL,Zima,Formalny,0,Oddychające
1,15.0,30.0,10.0,3,Sweter,6,Szorty,1.96,Sweter,Szary,Skóra,S,Wiosna/Jesień,Wieczorowy,1,Przeciwdeszczowe,Szorty,Szary,Jeans,M,Wiosna/Jesień,Sportowy,1,Ocieplane
1,15.0,30.0,10.0,1,Płaszcz,11,Spódnica,1.88,Płaszcz,Czerwony,Skóra,M,Wiosna/Jesień,Codzienny,0,Przeciwdeszczowe,Spódnica,Czerwony,Poliester,S,Zima,Wieczorowy,0,Brak
5,15.0,30.0,10.0,54,Bluza,60,Spodnie,1.5,Bluza,Beżowy,Poliester,M,Zima,Codzienny,0,Szybkoschnące,Spodnie,Beżowy,Len,XXL,Lato,Wieczorowy,0,Niekrępujące ruchu
5,15.0,30.0,10.0,58,Kurtka,60,Spodnie,1.38,Kurtka,Czarny,Poliester,XXL,Lato,Wieczorowy,0,Niekrępujące ruchu,Spodnie,Beżowy,Len,XXL,Lato,Wieczorowy,0,Niekrępujące ruchu
5,15.0,30.0,10.0,54,Bluza,61,Spódnica,1.2,Bluza,Beżowy,Poliester,M,Zima,Codzienny,0,Szybkoschnące,Spódnica,Beżowy,Len,XL,Zima,Wieczorowy,0,Przeciwwiatrowe
5,15.0,30.0,10.0,54,Bluza,62,Spodnie,1.2,Bluza,Beżowy,Poliester,M,Zima,Codzienny,0,Szybkoschnące,Spodnie,Beżowy,Wełna,L,Zima,Sportowy,0,Przeciwdeszczowe
5,15.0,30.0,10.0,58,Kurtka,59,Szorty,1.08,Kurtka,Czarny,Poliester,XXL,Lato,Wieczorowy,0,Niekrępujące ruchu,Szorty,Niebieski,Len,XL,Lato,Wieczorowy,0,Szybkoschnące
10,15.0,30.0,10.0,130,T-shirt,132,Szorty,2.4,T-shirt,Czerwony,Poliester,M,Lato,Codzienny,0,Szybkoschnące,Szorty,Czerwony,Poliester,S,Całoroczne,Wieczorowy,0,Oddychające
10,15.0,30.0,10.0,129,Płaszcz,132,Szorty,2.36,Płaszcz,Szary,Poliester,XXL,Wiosna/Jesień,Codzienny,1,Szybkoschnące,Szorty,Czerwony,Poliester,S,Całoroczne,Wieczorowy,0,Oddychające
10,15.0,30.0,10.0,129,Płaszcz,131,Spódnica,2.26,Płaszcz,Szary,Poliester,XXL,Wiosna/Jesień,Codzienny,1,Szybkoschnące,Spódnica,Szary,Poliester,XS,Wiosna/Jesień,Sportowy,0,Niwelujące otarcia
10,15.0,30.0,10.0,126,Marynarka,132,Szorty,1.76,Marynarka,Czarny,Jeans,M,Wiosna/Jesień,Sportowy,0,Niekrępujące ruchu,Szorty,Czerwony,Poliester,S,Całoroczne,Wieczorowy,0,Oddychające
10,15.0,30.0,10.0,129,Płaszcz,137,Szorty,1.76,Płaszcz,Szary,Poliester,XXL,Wiosna/Jesień,Codzienny,1,Szybkoschnące,Szorty,Czarny,Wełna,S,Całoroczne,Codzienny,0,Oddychające
15,15.0,30.0,10.0,196,Sweter,199,Spódnica,2.96,Sweter,Niebieski,Poliester,XL,Wiosna/Jesień,Wieczorowy,1,Oddychające,Spódnica,Beżowy,Skóra,XS,Całoroczne,Codzienny,0,Oddychające
15,15.0,30.0,10.0,202,Marynarka,199,Spódnica,2.48,Marynarka,Beżowy,Bawełna,M,Wiosna/Jesień,Wieczorowy,1,Niekrępujące ruchu,Spódnica,Beżowy,Skóra,XS,Całoroczne,Codzienny,0,Oddychające
15,15.0,30.0,10.0,196,Sweter,201,Szorty,2.36,Sweter,Niebieski,Poliester,XL,Wiosna/Jesień,Wieczorowy,1,Oddychające,Szorty,Beżowy,Poliester,XS,Całoroczne,Formalny,0,Przeciwdeszczowe
15,15.0,30.0,10.0,205,Marynarka,199,Spódnica,2.28,Marynarka,Niebieski,Poliester,L,Całoroczne,Sportowy,1,Szybkoschnące,Spódnica,Beżowy,Skóra,XS,Całoroczne,Codzienny,0,Oddychające
